Rissa tridactyla
Nannocalanus minor
Euchaeta pubera
Thunnus alalunga
Thalassiothrix longissima
Calonectris diomedea
Ceratoscopelus maderensis
Scomberesox saurus
Neocalanus gracilis
Ditylum brightwellii
Thalassionema nitzschioides
Navicula planamembranacea
Metridia lucens
Calanus glacialis
Heterorhabdus norvegicus
Tripos longipes
Pseudo-nitzschia delicatissima
Tripos furca
Rhizosolenia flaccida
Thunnus thynnus
Neogloboquadrina incompta
Eucampia zodiacus
Globorotalia hirsuta
Tripos pentagonus
Centropages bradyi
Tripos minutus
Cyclococcolithina leptopora
Xiphias gladius
Pleuromamma piseki
Alle alle
Lagenorhynchus albirostris
Calanus finmarchicus
Eusergestes arcticus
Corethron hystrix
Pleuromamma robusta
Rhizosolenia semispina
Thunnus obesus
Tripos vultur
Proboscia alata
Pleuromamma gracilis
Sterna paradisaea
Paralepis coregonoides
Thunnus albacares
Orbulina universa
Calanus hyperboreus
Balaenoptera borealis
Tripos horridus
Globigerinoides ruber
Puffinus gravis
Globorotalia (Truncorotalia) crassaformis
Globigerina bulloides
Globigerina falconensis
Pleuromamma borealis
Globigerinita uvula
Ceratium arcticum
Fulmarus glacialis
Uria lomvia
Obtusoecia obtusata
Euchirella rostrata
Pleuromamma abdominalis
Stenella coeruleoalba
Tripos arietinus
Notolychnus valdiviae
Pseudo-nitzschia seriata
Parasergestes vigilax
Bolinichthys indicus
Calanus helgolandicus
Stomias boa
Tripos fusus
Tripos macroceros
Lauderia mediterranea
Maurolicus muelleri
Lampanyctus pusillus
Undeuchaeta plumosa
Tripos teres
Exocoetus obtusirostris
Euchaeta media
Globicephala melas
Oceanites oceanicus
Cubiceps gracilis
Tripos extensus
Lauderia annulata
Tripos platycornis
Cylindrotheca closterium
Nannobrachium atrum
Tripos massiliensis
Amphiophiura convexa
Rhizosolenia styliformis
Pleuromamma xiphias
Climacodium frauenfeldianum
Centropages typicus
Mecynocera clausi
Tripos lineatus
Tripos muelleri
Physeter macrocephalus
Globorotalia truncatulinoides
Rhincalanus nasutus
Scolecithrix danae
Euchaeta marina
Metridia longa
Paraeuchaeta norvegica
Globigerinita glutinata
Undinula vulgaris
Neodenticula seminae
Tripos trichoceros
Temora stylifera
Stercorarius pomarinus
Caretta caretta
Candacia armata
Tripos longirostrus
Isurus oxyrinchus
Euchaeta acuta
Chelonia mydas
Grampus griseus
Mola mola
Acartia (Acartia) negligens
