Gadus morhua
Xiphias gladius
Caretta caretta
Elenacalanus princeps
Thunnus alalunga
Thunnus obesus
Parapagurus abyssorum
Allosergestes pectinatus
Eucalanus elongatus
Calanus glacialis
Sphyrna lewini
Tetrapturus pfluegeri
Illex illecebrosus
Rossia megaptera
Amblyraja radiata
Isurus oxyrinchus
Amalopenaeus elegans
Gardinerosergia splendens
Parapasiphae sulcatifrons
Megacalanus princeps
Calanus finmarchicus
Prionace glauca
Periphylla periphylla
Dermochelys coriacea
Nephasoma (Nephasoma) flagriferum
Freyella elegans
Acanthephyra purpurea
Allosergestes sargassi
Acanthephyra pelagica
Eusergestes arcticus
Lepidocybium flavobrunneum
Ruvettus pretiosus
Reinhardtius hippoglossoides
Grampus griseus
Tursiops truncatus
Henricia lisa
Meningodora vesca
Robustosergia robusta
Gennadas valens
Stygiomedusa gigantea
Thunnus albacares
Amphiophiura bullata
Gennadas tinayrei
Auxis thazard
Amphiophiura convexa
Sergia remipes
Systellaspis debilis
Hippoglossoides platessoides
Calanus hyperboreus
