Pontophilus spinosus
Haliclona (Rhizoniera) viscosa
Ceratium arcticum
Edmundsella pedata
Doto pinnatifida
Macropodia rostrata
Symphyocladiella parasitica
Dendrodoa grossularia
Limacia clavigera
Diaphorodoris luteocincta
Lophius budegassa
Hormathia digitata
Cirratulus cirratus
Arcopagia crassa
Crisia denticulata
Scomber scombrus
Bispira volutacornis
Suberites pagurorum
Nephtys cirrosa
Haliclystus auricula
Eupolymnia nebulosa
Oshurkovia littoralis
Turbonilla acuta
Phtisica marina
Pisione remota
Gymnodinium agiliforme
Skeletonema costatum
Clathria (Microciona) spinarcus
Halopteris catharina
Raspailia (Raspailia) ramosa
Aurelia aurita
Cradoscrupocellaria reptans
Sphaerosyllis hystrix
Scophthalmus maximus
Pasiphaea sivado
Acartia (Acartiura) clausi
Salpa fusiformis
Hiatella arctica
Eudendrium arbuscula
Aglaophenia tubulifera
Abra nitida
Macoma balthica
Praxillella affinis
Venus verrucosa
Patella pellucida
Ophiothrix fragilis
Leiochone leiopygos
Sthenelais boa
Leucothoe lilljeborgi
Solenocera membranacea
Macomangulus tenuis
Pollachius virens
Protodorvillea kefersteini
Thalassiosira eccentrica
Neoturris pileata
Centraloecetes kroyeranus
Neocalanus gracilis
Meganyctiphanes norvegica
Crossaster papposus
Doto maculata
Epistominella exigua
Paralia sulcata
Tritia incrassata
Spisula elliptica
Ascidiella scabra
Calanus finmarchicus
Stenogramma interruptum
Callionymus lyra
Euchaeta acuta
Ctenocalanus vanus
Trivia monacha
Raja montagui
Lucinoma borealis
Liocarcinus corrugatus
Ulva lactuca
Musculus subpictus
Gobius paganellus
Goniadella gracilis
Solea solea
Retusa obtusa
Chelonaplysilla noevus
Microstomus kitt
Pusillina inconspicua
Processa canaliculata
Laevidentalina elegans
Ilyarachna longicornis
Protoperidinium mite
Leptostylis macrura
Cylista elegans
Halecium muricatum
Ctenolabrus rupestris
Trisopterus esmarkii
Cylichna cylindracea
Caprella acanthifera
Hymeniacidon perlevis
Sabella pavonina
Hippomedon denticulatus
Harmothoe globifera
Oridorsalis umbonatus
Garveia nutans
Lissoclinum perforatum
Isozoanthus sulcatus
Gastrosaccus sanctus
Tubulanus polymorphus
Neomysis integer
Westwoodilla caecula
Marginulina similis
Sepiola atlantica
